question,answer,communication,confidence,problem_solving,teamwork
"Tell me about a time you had to step out of your comfort zone.","I once spoke at a seminar for the first time. Ahh, I was nervous but prepared and delivered well.",5,5,4,4
"Tell me about a time you had to step out of your comfort zone.","Hmm, I handled a supplier call alone for the first time. It went okay, some confusion occurred.",3,3,2,3
"Tell me about a time you had to step out of your comfort zone.","I offered to handle complaints while my team avoided it. Some were upset, but I managed.",4,4,3,4
"Tell me about a time you had to step out of your comfort zone.","Uh, I tried leading a discussion without notes. It was messy, but team followed.",2,2,2,3
"Tell me about a time you had to step out of your comfort zone.","I presented a project idea to senior management. Initially resisted but eventually approved.",5,5,4,4
"Tell me about a time you had to step out of your comfort zone.","I volunteered for a public announcement. I was hesitant, ahh, but finished successfully.",4,4,3,3
"Tell me about a time you had to step out of your comfort zone.","I tried explaining a difficult concept to interns. Some didn't understand initially but later learned.",4,4,3,4
"Tell me about a time you had to step out of your comfort zone.","Uh, I had to deliver a report in front of peers. I stuttered a bit but completed it.",2,2,2,2
"Tell me about a time you had to step out of your comfort zone.","Ahh, I tried a new role in cross-department project. Learned new skills and helped team.",5,4,4,5
"Tell me about a time you had to step out of your comfort zone.","I once coordinated event logistics alone. Initially hesitant, I completed all tasks.",4,4,3,5
"Tell me about a time you had to step out of your comfort zone.","I joined a training program for leadership; uncomfortable initially but gained confidence.",4,5,3,4
"Tell me about a time you had to step out of your comfort zone.","Uh, I spoke in English in a meeting, first time in front of seniors. Ahh, some mistakes, but delivered.",3,3,2,3
"Tell me about a time you had to step out of your comfort zone.","I handled a complaint from a difficult client alone. I stayed calm and solved it.",5,5,4,4
"Tell me about a time you had to step out of your comfort zone.","I volunteered for a night shift while everyone avoided it. Managed tasks, ahh, felt nervous initially.",4,4,3,4
"Tell me about a time you had to step out of your comfort zone.","Uh, I attended a networking event alone. I tried talking to people; outcome was okay.",3,3,2,2
"Tell me about a time you had to step out of your comfort zone.","I gave a short talk in office without prep. Stumbled a bit but learned.",2,2,1,2
"Tell me about a time you had to step out of your comfort zone.","I tried presenting online to clients via Zoom. Connection issues occurred but I managed.",4,4,3,3
"Describe a time you had to persuade someone to accept your idea.","I suggested a new workflow to my manager. I explained pros and gave examples. They agreed, ahh, and we implemented it.",5,5,4,4
"Describe a time you had to persuade someone to accept your idea.","I convinced client to try a different design. I presented visuals and explained benefits; they approved.",5,5,4,3
"Describe a time you had to persuade someone to accept your idea.","Uh, I proposed a minor change in reporting style. Initially ignored, then after discussion, it was accepted.",4,4,3,3
"Describe a time you had to persuade someone to accept your idea.","Ahh, I presented a cost-saving plan to my team. Some resisted, but after showing numbers, they agreed.",5,5,4,5
"Describe a time you had to persuade someone to accept your idea.","I suggested a new approach to solving a minor issue. Team accepted after few questions.",4,4,3,4
"Describe a time you had to persuade someone to accept your idea.","Hmm, I tried explaining my idea but they didn't understand fully. Needed more examples.",3,3,2,3
"Describe a time you had to persuade someone to accept your idea.","I convinced manager to allow flexible work hours. Explained productivity benefits and evidence from other teams.",5,5,4,4
"Describe a time you had to persuade someone to accept your idea.","Uh, I suggested rearranging tasks; manager disagreed but eventually accepted.",3,3,2,3
"Describe a time you had to persuade someone to accept your idea.","I presented data showing trend improvement with my method. They agreed to try it.",5,4,4,3
"Describe a time you had to persuade someone to accept your idea.","Ahh, I recommended a different vendor. Initially doubted, but trial convinced them.",4,4,3,3
"Describe a time you had to persuade someone to accept your idea.","I once tried convincing my team to adopt new software. Some resisted; after training, they agreed.",4,4,3,4
"Describe a time you had to persuade someone to accept your idea.","Uh, I suggested a small change in layout. People hesitated but followed my suggestion.",3,3,2,2
"Describe a time you had to persuade someone to accept your idea.","I explained pros and cons clearly and got management approval for my plan.",5,5,4,4
"Describe a time you had to persuade someone to accept your idea.","Ahh, I proposed a new reporting format. Team initially skeptical but agreed after sample demo.",4,4,3,4
"Describe a time you had to persuade someone to accept your idea.","I tried to explain a new approach, but they rejected. Later I provided evidence and they accepted.",4,5,3,4
"Describe a time you had to persuade someone to accept your idea.","Uh, I suggested change, they ignored. Tried again later; they reluctantly agreed.",2,2,2,2
"Describe a time you had to persuade someone to accept your idea.","I used visual comparisons and explained clearly. Manager liked my approach.",5,5,4,3
"Describe a time you had to persuade someone to accept your idea.","I proposed a minor workflow change. Initially doubted, but success proved it right.",4,4,3,4
"Describe a time you had to persuade someone to accept your idea.","Ahh, I suggested adding one step to process. Team reluctant but followed.",3,3,2,3
"Describe a time you had to persuade someone to accept your idea.","I suggested a small change in email template; everyone agreed after seeing benefits.",4,4,3,3
"Tell me about a time you handled criticism effectively.","Ahh, my manager told me my report lacked details. I listened carefully, asked clarifying questions, updated it, and submitted on time. They appreciated my response.",5,5,4,5
"Tell me about a time you handled criticism effectively.","I received feedback that my presentation was rushed. I reviewed it, prepared better visuals, and delivered next time more clearly.",5,4,4,4
"Tell me about a time you handled criticism effectively.","Uh, a colleague pointed out mistakes in my calculations. I corrected them and thanked them for noticing.",4,4,3,4
"Tell me about a time you handled criticism effectively.","I was told my client email sounded rude. I rewrote politely and followed up, client responded well.",5,5,4,4
"Tell me about a time you handled criticism effectively.","Hmm, feedback said my explanation was unclear. I clarified in one-on-one follow-up and they understood.",4,4,3,3
"Tell me about a time you handled criticism effectively.","Ahh, I ignored initial feedback and continued, later realised mistake, apologised and corrected.",2,2,2,3
"Tell me about a time you handled criticism effectively.","I got criticism about formatting. I corrected and learned to standardise my documents.",4,4,3,4
"Tell me about a time you handled criticism effectively.","Uh, my manager said I spoke too fast. I practiced pacing, next meeting was better.",3,4,3,3
"Tell me about a time you handled criticism effectively.","I received negative client feedback. I addressed concerns directly and improved next delivery.",5,5,4,4
"Tell me about a time you handled criticism effectively.","Ahh, I was told my approach to scheduling was inefficient. I redesigned workflow and shared with team.",5,5,4,5
"Tell me about a time you handled criticism effectively.","I was criticised for missing details in report. I double-checked next submission and manager appreciated it.",4,4,4,4
"Tell me about a time you handled criticism effectively.","Uh, feedback said my email tone was harsh. I apologised and revised next email.",3,3,2,3
"Tell me about a time you handled criticism effectively.","I acted on constructive criticism, learned new methods and applied in next project.",5,5,4,4
"Tell me about a time you handled criticism effectively.","Ahh, I was told my explanation confused audience. I prepared simple examples next time.",4,4,3,4
"Tell me about a time you handled criticism effectively.","I ignored some negative feedback, which led to repeated mistakes. Learned to listen carefully next time.",2,2,2,2
"Tell me about a time you handled criticism effectively.","I thanked manager for pointing mistakes, revised work, and avoided repeating them.",5,5,4,4
"Tell me about a time you handled criticism effectively.","Uh, criticism on presentation content made me nervous. I restructured and it was accepted.",4,4,3,3
"Tell me about a time you handled criticism effectively.","I listened to peer feedback on project plan, adjusted approach, and team appreciated effort.",5,4,4,5
"Tell me about a time you handled criticism effectively.","Ahh, I was criticised for my time management. I made schedule improvements and delivered next tasks on time.",4,4,3,4
"Tell me about a time you handled criticism effectively.","I received negative feedback, initially felt bad, but later applied it effectively. Learned lesson.",4,4,3,4
"Give an example of a time you stayed calm under pressure.","Ahh, during an urgent client call, I calmly listened, noted issues, and proposed solutions. Client appreciated composed response.",5,5,4,4
"Give an example of a time you stayed calm under pressure.","I handled multiple tasks before a deadline. I prioritised, delegated and finished on time without panic.",5,5,4,5
"Give an example of a time you stayed calm under pressure.","Uh, a supplier delay occurred. I informed team calmly, revised plan, and completed project.",4,4,4,4
"Give an example of a time you stayed calm under pressure.","I managed client complaints while awaiting approvals. Remained composed and communicated status clearly.",5,5,4,4
"Give an example of a time you stayed calm under pressure.","Hmm, during last-minute report submission, I stayed focused, double-checked data, submitted successfully.",4,4,3,3
"Give an example of a time you stayed calm under pressure.","Ahh, I panicked initially when system crashed but regained composure and informed IT systematically.",3,3,3,3
"Give an example of a time you stayed calm under pressure.","I led a team during unexpected task change, explained calmly, delegated, achieved target.",5,5,4,5
"Give an example of a time you stayed calm under pressure.","Uh, I stayed calm during tense discussion, avoided arguing, clarified points. Team agreed.",4,4,3,4
"Give an example of a time you stayed calm under pressure.","I was criticised in meeting; I listened, responded politely and focused on solutions.",5,5,4,4
"Give an example of a time you stayed calm under pressure.","Ahh, during urgent delivery issue, I coordinated team calmly, resolved delays, satisfied client.",5,5,4,5
"Give an example of a time you stayed calm under pressure.","I maintained composure during sudden software failure, helped colleagues troubleshoot.",5,4,4,4
"Give an example of a time you stayed calm under pressure.","Uh, I froze initially during emergency call, then recovered and guided team.",2,2,2,2
"Give an example of a time you stayed calm under pressure.","I stayed calm while presenting under scrutiny; handled questions patiently.",5,5,4,4
"Give an example of a time you stayed calm under pressure.","Ahh, I worked through tight deadline calmly, prioritised tasks, completed successfully.",5,5,4,5
"Give an example of a time you stayed calm under pressure.","I remained composed when unexpected error occurred in presentation; explained verbally instead.",4,4,3,4
"Give an example of a time you stayed calm under pressure.","Uh, team members argued, I stayed neutral, guided discussion to constructive solution.",4,4,3,5
"Give an example of a time you stayed calm under pressure.","I coordinated last-minute schedule change calmly, everyone followed instructions.",5,5,4,4
"Give an example of a time you stayed calm under pressure.","Ahh, while solving client complaint, I stayed calm, recorded issue, proposed fix, team satisfied.",5,5,4,5
"Give an example of a time you stayed calm under pressure.","I was stressed about deadline, but took short break, returned focused, completed on time.",4,4,3,4
"Give an example of a time you stayed calm under pressure.","Uh, I stayed calm during system downtime, informed team step-by-step, resumed work.",4,4,3,4
"Give an example of a time you took initiative.","Ahh, I noticed missing data in a report and updated it before manager saw. Team appreciated proactive action.",5,5,4,5
"Give an example of a time you took initiative.","I volunteered to lead a small project when others hesitated. Managed team, met deadline successfully.",5,5,4,5
"Give an example of a time you took initiative.","Uh, I suggested automating a repetitive task. Initially resisted but later accepted and saved time.",4,4,4,4
"Give an example of a time you took initiative.","I started training new interns without being asked. They quickly became productive.",5,5,4,5
"Give an example of a time you took initiative.","Hmm, I proposed a minor workflow change in team meeting. Management liked it.",4,4,3,4
"Give an example of a time you took initiative.","Ahh, I fixed a small error in project plan without informing anyone. Resulted in better workflow.",3,4,3,3
"Give an example of a time you took initiative.","I suggested adding a new feature in client report, team accepted and appreciated.",5,5,4,4
"Give an example of a time you took initiative.","Uh, I took initiative to clean shared files. Team noticed but outcome minimal.",3,3,2,3
"Give an example of a time you took initiative.","I volunteered to handle client feedback proactively. Feedback improved relations.",5,5,4,4
"Give an example of a time you took initiative.","Ahh, I started documenting tasks for team clarity, it helped reduce confusion.",4,4,3,4
"Give an example of a time you took initiative.","I suggested running internal survey to improve process. Initially doubted but later approved.",4,4,3,4
"Give an example of a time you took initiative.","Uh, I rearranged minor team schedules for efficiency, some confusion occurred.",2,3,2,3
"Give an example of a time you took initiative.","I noticed client query unanswered, responded promptly. Manager appreciated.",5,5,4,4
"Give an example of a time you took initiative.","Ahh, I offered to mentor junior colleague. Helped them complete task confidently.",5,4,4,5
"Give an example of a time you took initiative.","I prepared extra documentation without being asked. Team found it useful.",5,4,4,4
"Give an example of a time you took initiative.","Uh, I suggested small change in email format. Team didn't follow but tried.",3,3,2,2
"Give an example of a time you took initiative.","I researched software updates and shared with team, improving work efficiency.",4,4,4,4
"Give an example of a time you took initiative.","Ahh, I proposed adding a new client tracking sheet. Team agreed after review.",4,4,3,4
"Give an example of a time you took initiative.","I volunteered to handle urgent request alone. Managed successfully, team satisfied.",5,5,4,5
"Give an example of a time you took initiative.","Uh, I took initiative to organise files. Minor benefit, team ignored mostly.",2,2,2,2
"Describe a time you overcame self-doubt.","Ahh, I was hesitant to lead a presentation. Practiced multiple times, delivered confidently.",5,5,4,4
"Describe a time you overcame self-doubt.","I doubted my coding skills but solved tough bug successfully; manager praised.",5,5,4,4
"Describe a time you overcame self-doubt.","Uh, I hesitated to speak in meeting. Later gathered courage and shared idea; appreciated.",4,4,3,4
"Describe a time you overcame self-doubt.","I initially doubted my negotiation skills. Prepared examples, handled client well.",5,5,4,4
"Describe a time you overcame self-doubt.","Hmm, I felt unsure presenting financial data. Practiced, asked colleague feedback, went well.",4,4,3,4
"Describe a time you overcame self-doubt.","Ahh, I avoided speaking but later forced myself to talk. Some mistakes occurred.",3,3,2,3
"Describe a time you overcame self-doubt.","I volunteered to explain complex process. Initially nervous, later did well.",4,5,3,4
"Describe a time you overcame self-doubt.","Uh, I tried leading discussion but stumbled. Learned to prepare better.",2,2,2,3
"Describe a time you overcame self-doubt.","I doubted my writing skills, drafted report, shared for feedback, improved, submitted.",5,5,4,4
"Describe a time you overcame self-doubt.","Ahh, I hesitated in client meeting, finally spoke. Outcome positive.",4,4,3,4
"Describe a time you overcame self-doubt.","I doubted handling conflict with team, approached calmly, resolved successfully.",5,5,4,5
"Describe a time you overcame self-doubt.","Uh, I questioned my math ability. Solved issue after revising, manager happy.",4,4,3,3
"Describe a time you overcame self-doubt.","I felt nervous giving demo, rehearsed, delivered smoothly. Team appreciated.",5,5,4,4
"Describe a time you overcame self-doubt.","Ahh, I doubted whether idea would be accepted, presented with confidence, approved.",5,5,4,4
"Describe a time you overcame self-doubt.","I hesitated to ask for help, finally did, problem solved efficiently.",4,4,3,4
"Describe a time you overcame self-doubt.","Uh, I felt unsure presenting new software. Some errors, but team followed.",3,3,2,3
"Describe a time you overcame self-doubt.","I doubted ability to complete task alone. Took stepwise approach, finished successfully.",5,5,4,4
"Describe a time you overcame self-doubt.","Ahh, I hesitated to speak in seminar, gained confidence after practicing, delivered well.",4,5,3,4
"Describe a time you overcame self-doubt.","I doubted my presentation skills but prepared examples, presented confidently.",5,5,4,4
"Describe a time you overcame self-doubt.","Uh, I was unsure answering client's question. Answered cautiously, okay result.",3,3,2,3
"Give an example of a time you dealt with a challenging colleague.","Ahh, a teammate was defensive about feedback. I calmly explained, listened actively, reached compromise.",5,5,4,5
"Give an example of a time you dealt with a challenging colleague.","I had a colleague ignoring deadlines. I approached politely, discussed impact, tasks completed on time.",5,5,4,4
"Give an example of a time you dealt with a challenging colleague.","Uh, a coworker argued on minor issue. I clarified points, avoided conflict, finished task.",4,4,3,4
"Give an example of a time you dealt with a challenging colleague.","I mediated between two colleagues with disagreements; clarified roles and resolved tension.",5,5,4,5
"Give an example of a time you dealt with a challenging colleague.","Hmm, a colleague was dismissive of my idea. I showed evidence, eventually agreed.",4,4,3,4
"Give an example of a time you dealt with a challenging colleague.","Ahh, colleague interrupted me frequently. I stayed calm, communicated points clearly.",4,4,3,4
"Give an example of a time you dealt with a challenging colleague.","I explained workload priorities; colleague understood, cooperation improved.",5,5,4,5
"Give an example of a time you dealt with a challenging colleague.","Uh, a teammate was unresponsive. I followed up patiently and task completed.",3,3,3,3
"Give an example of a time you dealt with a challenging colleague.","I suggested compromise approach; conflict resolved, both parties satisfied.",5,5,4,5
"Give an example of a time you dealt with a challenging colleague.","Ahh, colleague criticised me publicly. I stayed composed, addressed privately, issue resolved.",5,5,4,5
"Give an example of a time you dealt with a challenging colleague.","I dealt with a colleague delaying work, explained impact calmly; work finished.",4,4,3,4
"Give an example of a time you dealt with a challenging colleague.","Uh, colleague ignored suggestion; I repeated politely, eventually followed.",3,3,2,3
"Give an example of a time you dealt with a challenging colleague.","I clarified misunderstandings with colleague directly, achieved teamwork improvement.",5,5,4,5
"Give an example of a time you dealt with a challenging colleague.","Ahh, colleague disagreed on report format. We negotiated and agreed on compromise.",4,4,3,4
"Give an example of a time you dealt with a challenging colleague.","I calmly addressed miscommunication, resolved conflict efficiently.",5,5,4,5
"Give an example of a time you dealt with a challenging colleague.","Uh, colleague questioned my decision. I explained reasoning, accepted later.",4,4,3,4
"Give an example of a time you dealt with a challenging colleague.","I mediated team discussion; both sides understood, achieved solution.",5,5,4,5
"Give an example of a time you dealt with a challenging colleague.","Ahh, a colleague ignored tasks. I reassigned and followed up, completed successfully.",4,4,3,4
"Give an example of a time you dealt with a challenging colleague.","I remained patient, listened actively to colleague complaints, improved coordination.",5,5,4,5
"Give an example of a time you dealt with a challenging colleague.","Uh, colleague argued repeatedly. I calmly addressed points, some still ignored, task done.",3,3,2,3
"Tell me about a time you had to make a decision with incomplete information.","Ahh, during an event planning task, the vendor wasn't responding. I made a quick decision to go with an alternative vendor based on past reliability. It worked perfectly.",5,5,5,4
"Tell me about a time you had to make a decision with incomplete information.","We didn't have all the sales numbers but needed to forecast. I used previous quarter trends and made a reasonable estimate.",5,4,4,4
"Tell me about a time you had to make a decision with incomplete information.","Uh, once during a shift we didn’t know exact stock quantities. I proceeded with what we had and adjusted later.",4,4,3,3
"Tell me about a time you had to make a decision with incomplete information.","Client didn’t explain requirements clearly, so I drafted an initial proposal and clarified details later.",5,5,4,4
"Tell me about a time you had to make a decision with incomplete information.","Hmm, I had to approve a delivery without full verification. I trusted supplier history; it was fine.",4,4,3,3
"Tell me about a time you had to make a decision with incomplete information.","Ahh, honestly I hesitated too much and took long time. Decision became late and team struggled.",2,2,1,2
"Tell me about a time you had to make a decision with incomplete information.","We needed to pick a tool quickly. I compared basic features and selected one. It worked but needed adjustments.",4,4,3,4
"Tell me about a time you had to make a decision with incomplete information.","Uh, I had limited data about customer complaint, so I apologised and took corrective action. Customer was satisfied.",4,4,4,4
"Tell me about a time you had to make a decision with incomplete information.","I approved a small task based on guesswork. Later realised it was wrong. Ahh, learned to ask more questions.",2,2,1,2
"Tell me about a time you had to make a decision with incomplete information.","Team was waiting for me to choose meeting time, so I picked a practical slot based on half responses. It worked for everyone.",5,5,4,5
"Tell me about a time you had to make a decision with incomplete information.","A supplier didn't confirm timing; I arranged backup transport. It saved us from delay.",5,5,5,5
"Tell me about a time you had to make a decision with incomplete information.","Uh, I randomly chose a method because I didn’t understand properly. It backfired.",1,1,1,1
"Tell me about a time you had to make a decision with incomplete information.","I prioritised tasks based on urgency even though I didn’t know full details. Team appreciated my proactive approach.",5,5,4,5
"Tell me about a time you had to make a decision with incomplete information.","Ahh, I had limited instructions, so I checked with colleague briefly and continued. It helped avoid mistakes.",4,4,3,4
"Tell me about a time you had to make a decision with incomplete information.","I was unsure about a report section, so I made a reasonable assumption and noted it for manager to review.",5,4,4,4
"Tell me about a time you had to make a decision with incomplete information.","Uh, I made a half-informed decision and team got confused. Not my best moment.",2,2,2,2
"Tell me about a time you had to make a decision with incomplete information.","We had to choose between two event venues with partial details. I selected the safer one and it worked well.",5,5,4,4
"Tell me about a time you had to make a decision with incomplete information.","Ahh, I didn’t know full policy details but still guided a customer. It was mostly correct.",3,3,2,2
"Tell me about a time you had to make a decision with incomplete information.","Team needed an urgent resolution. I evaluated quick pros and cons and made a call. It turned out right.",5,5,5,5
"Tell me about a time you had to make a decision with incomplete information.","Uh, I avoided deciding until someone else took lead. Not very confident.",1,1,1,2
"Describe a situation where you had to stand by your decision even when others disagreed.","Ahh, I insisted on double-checking vendor documents before payment. Team thought it was unnecessary, but later errors were found. My decision saved funds.",5,5,5,5
"Describe a situation where you had to stand by your decision even when others disagreed.","I recommended a slower but safer approach for a project. Initially opposed, but outcome proved right.",5,5,4,5
"Describe a situation where you had to stand by your decision even when others disagreed.","Uh, I insisted on following SOPs during a rush. Others wanted shortcuts, but SOPs helped avoid mistakes.",5,5,4,4
"Describe a situation where you had to stand by your decision even when others disagreed.","I refused to send unverified data to client. Later team thanked me when we found errors.",5,5,5,5
"Describe a situation where you had to stand by your decision even when others disagreed.","Hmm, I chose to divide tasks differently. Team disagreed but later said it was more efficient.",4,4,4,4
"Describe a situation where you had to stand by your decision even when others disagreed.","Ahh, I stubbornly pushed an idea without enough reasoning, and it failed. I learned to listen more.",2,2,1,2
"Describe a situation where you had to stand by your decision even when others disagreed.","I insisted on documenting every step when others wanted to skip. It helped during audit.",5,5,5,5
"Describe a situation where you had to stand by your decision even when others disagreed.","Uh, I supported a colleague being treated unfairly. Team didn’t agree but my stand was right.",4,5,4,5
"Describe a situation where you had to stand by your decision even when others disagreed.","I refused to compromise on quality even under pressure. Outcome later appreciated by client.",5,5,4,5
"Describe a situation where you had to stand by your decision even when others disagreed.","Ahh, my decision to re-check stock delayed team slightly, but it prevented a shipping mistake.",4,4,4,4
"Describe a situation where you had to stand by your decision even when others disagreed.","I followed rules when others wanted shortcuts. It felt difficult but it maintained fairness.",4,4,3,4
"Describe a situation where you had to stand by your decision even when others disagreed.","Uh, I stuck to my plan but honestly it wasn’t the best decision. Team corrected it later.",2,2,2,3
"Describe a situation where you had to stand by your decision even when others disagreed.","I insisted on checking contract terms again, found a critical clause. Everyone later agreed.",5,5,5,5
"Describe a situation where you had to stand by your decision even when others disagreed.","Ahh, I chose to delay a task to verify data. Team disagreed but later understood.",4,4,4,4
"Describe a situation where you had to stand by your decision even when others disagreed.","I spoke up about a safety issue others ignored. Decision was appreciated when risk became visible.",5,5,5,5
"Describe a situation where you had to stand by your decision even when others disagreed.","Uh, I stood firm on rejecting an unclear request. Later clarified and team agreed.",4,4,3,4
"Describe a situation where you had to stand by your decision even when others disagreed.","I insisted on taking detailed notes in client meeting; others disagreed, but notes saved us later.",5,5,4,5
"Describe a situation where you had to stand by your decision even when others disagreed.","Ahh, honestly I argued too much and wasn’t flexible. My decision wasn’t fully correct.",2,2,2,2
"Describe a situation where you had to stand by your decision even when others disagreed.","I refused to skip a verification step. It caused delay but ensured accuracy.",5,5,4,4
"Describe a situation where you had to stand by your decision even when others disagreed.","Uh, I didn't explain reasoning well and forced decision. Team got confused.",2,2,1,2
"Describe a situation where you had to take a bold decision.","I had to push for a new process even when the whole team preferred the old way. Ahh, I explained the long-term benefits clearly, and eventually they accepted it.",5,5,4,4
"Describe a situation where you had to take a bold decision.","Uh, once I approved a quick change in workflow during a busy shift. It felt risky but it helped us finish on time.",4,4,3,3
"Describe a situation where you had to take a bold decision.","I spoke up against a popular idea in a meeting. I explained my concerns with data, and the team eventually changed direction.",5,5,4,5
"Describe a situation where you had to take a bold decision.","Ahh, I decided to call the client directly without waiting for the manager because the issue was urgent. The client appreciated it.",4,5,4,3
"Describe a situation where you had to take a bold decision.","Hmm, I once took the responsibility of presenting in front of senior leadership when no one else wanted to. It boosted my confidence a lot.",5,5,4,4
"Describe a situation where you had to take a bold decision.","I chose to delay a small part of a project because quality was dropping. The team first disagreed but later realised it was the right call.",4,4,4,4
"Describe a situation where you had to take a bold decision.","Uh, I told my colleague that we should follow the SOP even though he wanted a shortcut. It prevented mistakes.",3,3,3,3
"Describe a situation where you had to take a bold decision.","Ahh, I once switched vendors without waiting for approval because the situation was urgent. It worked out okay.",3,4,3,2
"Describe a situation where you had to take a bold decision.","I challenged my supervisor respectfully about a safety issue. It was uncomfortable but necessary.",5,5,4,4
"Describe a situation where you had to take a bold decision.","I volunteered to lead a small team for a tough task. Everyone was hesitant but I managed well.",4,5,3,4
"Describe a situation where you had to take a bold decision.","Uh, I decided to remove a low-priority task from the schedule to keep us on track. Team understood later.",3,4,3,3
"Describe a situation where you had to take a bold decision.","Honestly, I took a wrong bold decision once by skipping a verification step. It caused issues. I learned not to rush.",2,2,2,2
"Describe a situation where you had to take a bold decision.","Ahh, I stepped in to resolve a conflict among two colleagues even though I was junior. It helped calm the situation.",4,4,3,5
"Describe a situation where you had to take a bold decision.","I pushed back on unrealistic deadlines by explaining the risks clearly to the manager.",5,5,4,3
"Describe a situation where you had to take a bold decision.","I took initiative to run a client meeting alone when my senior was absent. It went well.",4,4,3,3
"Describe a situation where you had to take a bold decision.","Uh, I recommended cancelling a feature because it was causing delays. It wasn’t appreciated at first, ahh, but later proved correct.",4,4,4,3
"Describe a situation where you had to take a bold decision.","I confronted a teammate about repeated mistakes. It was difficult but improved team output.",4,5,4,4
"Describe a situation where you had to take a bold decision.","Hmm, I suggested shifting our entire schedule by a day to avoid bottlenecks. Risky but worked.",3,4,4,3
"Describe a situation where you had to take a bold decision.","I approved a minor budget increase without waiting because time was running out. Luckily it was accepted.",3,3,3,2
"Describe a situation where you had to take a bold decision.","I didn’t support the majority opinion during a brainstorming session and supported an unpopular but practical idea.",4,4,4,4
"Describe a time when you had to speak up for yourself.","Uh, in a meeting, someone tried to take credit for my work. I calmly pointed out my contributions. Ahh, they understood and acknowledged me.",5,5,4,4
"Describe a time when you had to speak up for yourself.","I told my manager that a deadline was unrealistic. I was nervous at first but explained logically why it was risky.",4,4,5,3
"Describe a time when you had to speak up for yourself.","Hmm, a colleague interrupted me repeatedly. I finally said I needed to finish. It worked but I stumbled on words.",3,4,3,3
"Describe a time when you had to speak up for yourself.","I confronted a teammate about unfair work distribution. Ahh, I explained politely but firmly. They apologized later.",5,5,4,5
"Describe a time when you had to speak up for yourself.","I argued with my senior about an idea I disagreed with. Uh, I was confident about the logic but my tone was slightly weak.",4,4,5,3
"Describe a time when you had to speak up for yourself.","Once I disagreed with a client request. I was hesitant and mumbling at first, but eventually I got my point across.",3,3,4,3
"Describe a time when you had to speak up for yourself.","I emailed my manager when my contribution was overlooked. Ahh, written words were clearer than speaking in person.",5,4,4,3
"Describe a time when you had to speak up for yourself.","During a group task, I suggested a different approach. Some ignored me initially, but I persisted. My teamwork was okay.",4,4,4,4
